"","cleaned_company","date","yearmon","Uniqueid","cleaned_county","total_number_of_cases"
"144","twin rivers foods",2020-07-03,"2020-07",39,"pope",42
"145","twin rivers foods",2020-12-21,"2020-12",39,"pope",160
"146","twin rivers foods",2021-01-18,"2021-01",39,"pope",122
"147","twin rivers foods",2020-08-17,"2020-08",40,"sebastian",16
"148","twin rivers foods",2020-12-17,"2020-12",40,"sebastian",47
"149","husqvarna",2020-06-08,"2020-06",41,"howard",7
"150","husqvarna",2020-12-24,"2020-12",41,"howard",71
"151","consulate of mexico",2020-06-08,"2020-06",42,"pulaski",5
"152","park hill collection warehouse",2020-06-14,"2020-06",43,"pulaski",10
"153","walmart",2020-06-14,"2020-06",44,"benton",7
"154","walmart",2020-07-20,"2020-07",45,"independence",5
"155","rockline industries",2020-06-21,"2020-06",46,"pope",16
"156","rockline industries",2020-06-25,"2020-06",47,"washington",21
"157","target",2020-06-18,"2020-06",48,"washington",6
"158","ok foods",2020-06-25,"2020-06",49,"sebastian",13
"159","ok foods",2020-07-31,"2020-07",49,"sebastian",158
"160","ok foods",2020-08-31,"2020-08",49,"sebastian",234
"161","ok foods",2020-10-15,"2020-10",49,"sebastian",269
"162","con_agra",2020-06-25,"2020-06",50,"pope",13
"163","con_agra",2020-07-31,"2020-07",50,"pope",127
"164","con_agra",2020-08-17,"2020-08",50,"pope",178
"165","con_agra",2020-10-12,"2020-10",50,"pope",198
"166","con_agra",2020-11-30,"2020-11",50,"pope",229
"167","con_agra",2020-12-31,"2020-12",50,"pope",293
"168","con_agra",2021-01-28,"2021-01",50,"pope",342
"169","con_agra",2021-02-11,"2021-02",50,"pope",353
"170","con_agra",2021-01-18,"2021-01",51,"washington",59
"171","tmc logistics",2020-07-06,"2020-07",52,"benton",14
"172","evergreen packaging",2020-07-20,"2020-07",53,"jefferson",36
"173","evergreen packaging",2020-10-29,"2020-10",53,"jefferson",92
"174","peco",2020-07-31,"2020-07",54,"randolph",42
"175","peco",2020-08-31,"2020-08",54,"randolph",61
"176","peco",2020-09-24,"2020-09",54,"randolph",66
"177","peco",2020-10-29,"2020-10",54,"randolph",76
"178","peco",2020-11-26,"2020-11",54,"randolph",86
"179","peco",2020-12-24,"2020-12",54,"randolph",110
"180","peco",2020-07-31,"2020-07",55,"independence",20
"181","peco",2020-08-31,"2020-08",55,"independence",147
"182","peco",2020-09-03,"2020-09",55,"independence",151
"183","producers rice mill inc",2020-07-24,"2020-07",56,"arkansas",12
"184","adams fertilizer equipment",2020-07-20,"2020-07",57,"arkansas",8
"185","hytrol conveyor company",2020-07-31,"2020-07",58,"craighead",13
"186","hytrol conveyor company",2020-08-03,"2020-08",58,"craighead",15
"187","hytrol conveyor company",2020-09-24,"2020-09",58,"craighead",43
"188","hytrol conveyor company",2020-10-15,"2020-10",58,"craighead",58
"189","hytrol conveyor company",2020-11-23,"2020-11",58,"craighead",88
"190","hytrol conveyor company",2020-12-24,"2020-12",58,"craighead",109
"191","hytrol conveyor company",2021-01-14,"2021-01",58,"craighead",121
"192","hytrol conveyor company",2021-01-18,"2021-01",59,"benton",37
"193","pace industries",2020-07-31,"2020-07",60,"boone",8
"194","pace industries",2020-08-03,"2020-08",60,"boone",9
"195","west tree services",2020-07-31,"2020-07",61,"pulaski",6
"196","west tree services",2020-08-03,"2020-08",61,"pulaski",7
"197","kagome foods",2020-08-17,"2020-08",62,"mississippi",19
"198","custom craft poultry",2020-08-07,"2020-08",63,"independence",9
"199","radius aerospace",2020-08-10,"2020-08",64,"garland",10
"200","wilson brothers lumber co",2020-08-27,"2020-08",65,"cleveland",15
"201","jb hunt transport services",2020-08-10,"2020-08",66,"benton",28
"202","triumph_airborne_structures",2020-08-31,"2020-08",67,"garland",15
"203","triumph_airborne_structures",2020-09-14,"2020-09",67,"garland",20
"204","global food group",2020-08-31,"2020-08",68,"van_buren",8
"205","jw aluminum co.",2020-08-31,"2020-08",69,"pope",7
"206","jw aluminum co.",2020-09-03,"2020-09",69,"pope",8
"207","big river steel",2020-09-09,"2020-09",70,"mississippi",16
"208","textbook brokers",2020-09-14,"2020-09",71,"craighead",11
"209","mahle engine components",2020-09-09,"2020-09",72,"pope",11
"210","lennox industries",2020-09-28,"2020-09",73,"arkansas",37
"211","lennox industries",2020-10-26,"2020-10",73,"arkansas",59
"212","lennox industries",2021-01-25,"2021-01",73,"arkansas",85
