"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"3:210","2020-11-30","Tyson","Plant St.","Waldron","Scott","8","28","Manufacturing",NA,NA,NA,36,NA,NA,NA,NA
"3:211","2020-11-30",NA,NA,"Berryville","Carroll","7","57","Manufacturing",NA,NA,NA,64,NA,NA,NA,NA
"3:212","2020-11-30","Tyson",NA,"Huntsville","Madison","5","163","Manufacturing",NA,NA,NA,168,NA,NA,NA,NA
"3:213","2020-11-30","Nucor-Yamato Steel",NA,"Blytheville","Mississippi","5","29","Manufacturing",NA,NA,NA,34,NA,NA,NA,NA
"3:214","2020-11-30","Butterball",NA,"Jonesboro","Craighead","5","17","Manufacturing",NA,NA,NA,22,NA,NA,NA,NA
"3:215","2020-11-26","ConAgra",NA,"Russellville","Pope","14","208","Manufacturing",NA,NA,NA,222,NA,NA,NA,NA
"3:216","2020-11-26","Tyson",NA,"Green Forest","Carroll","10","165","Manufacturing",NA,NA,NA,175,NA,NA,NA,NA
"3:217","2020-11-26","Tyson","Plant St.","Waldron","Scott","7","20","Manufacturing",NA,NA,NA,27,NA,NA,NA,NA
"3:218","2020-11-26","Tyson",NA,"Van Buren","Crawford","5","248","Manufacturing",NA,NA,NA,253,NA,NA,NA,NA
"3:219","2020-11-26","Peco",NA,"Pocahontas","Randolph","5","81","Manufacturing",NA,NA,NA,86,NA,NA,NA,NA
"3:220","2020-11-26","Tyson",NA,"Berryville","Carroll","5","56","Manufacturing",NA,NA,NA,61,NA,NA,NA,NA
"3:221","2020-11-26","Rineco Chemical Industries",NA,"Haskell","Saline","5","7","Manufacturing",NA,NA,NA,12,NA,NA,NA,NA
"3:222","2020-11-23","ConAgra",NA,"Russellville","Pope","14","207","Manufacturing",NA,NA,NA,221,NA,NA,NA,NA
"3:223","2020-11-23","ABB",NA,"Ft Smith","Sebastian","7","42","Manufacturing",NA,NA,NA,49,NA,NA,NA,NA
"3:224","2020-11-23","Rineco Chemical Industries",NA,"Haskell","Saline","6","5","Manufacturing",NA,NA,NA,11,NA,NA,NA,NA
"3:225","2020-11-23","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","5","83","Manufacturing",NA,NA,NA,88,NA,NA,NA,NA
"3:226","2020-11-23","Frito Lay",NA,"Jonesboro","Craighead","5","76","Manufacturing",NA,NA,NA,81,NA,NA,NA,NA
"3:227","2020-11-23","Maynard Inc.",NA,"Fayetteville","Washington","5","3","Manufacturing",NA,NA,NA,8,NA,NA,NA,NA
"3:228","2020-11-19","Tyson",NA,"Green Forest","Carroll","8","152","Manufacturing",NA,NA,NA,160,NA,NA,NA,NA
"3:229","2020-11-19","Tyson",NA,"Van Buren","Crawford","7","236","Manufacturing",NA,NA,NA,243,NA,NA,NA,NA
"3:230","2020-11-19","Simmons Foods",NA,"Siloam Springs","Benton","7","97","Manufacturing",NA,NA,NA,104,NA,NA,NA,NA
"3:231","2020-11-19","ABB",NA,"Ft Smith","Sebastian","7","40","Manufacturing",NA,NA,NA,47,NA,NA,NA,NA
"3:232","2020-11-19","ConAgra",NA,"Russellville","Pope","6","205","Manufacturing",NA,NA,NA,211,NA,NA,NA,NA
"3:233","2020-11-19","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","6","80","Manufacturing",NA,NA,NA,86,NA,NA,NA,NA
"3:234","2020-11-19","Peco",NA,"Pocahontas","Randolph","5","75","Manufacturing",NA,NA,NA,80,NA,NA,NA,NA
"3:235","2020-11-19","Alma Tractor",NA,"Alma","Crawford","5","2","Manufacturing",NA,NA,NA,7,NA,NA,NA,NA
"3:236","2020-11-16","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","8","75","Manufacturing",NA,NA,NA,83,NA,NA,NA,NA
"3:237","2020-11-16","Frito Lay",NA,"Jonesboro","Craighead","7","69","Manufacturing",NA,NA,NA,76,NA,NA,NA,NA
"3:238","2020-11-16","Nabholz",NA,"Conway","Faulkner","7","4","Construction",NA,NA,NA,11,NA,NA,NA,NA
"3:239","2020-11-16","Tyson",NA,"Waldron","Scott","7","13","Manufacturing",NA,NA,NA,20,NA,NA,NA,NA
"3:240","2020-11-16","Simmons Foods",NA,"Siloam Springs","Benton","6","96","Manufacturing",NA,NA,NA,102,NA,NA,NA,NA
"3:241","2020-11-16","Peco",NA,"Pocahontas","Randolph","6","74","Manufacturing",NA,NA,NA,80,NA,NA,NA,NA
"3:242","2020-11-16","Tyson",NA,"Van Buren","Crawford","5","231","Manufacturing",NA,NA,NA,236,NA,NA,NA,NA
"3:243","2020-11-16","Tyson",NA,"Green Forest","Carroll","5","148","Manufacturing",NA,NA,NA,153,NA,NA,NA,NA
"3:244","2020-11-16","Pilgrim's Pride",NA,"De Queen","Sevier","5","278","Manufacturing",NA,NA,NA,283,NA,NA,NA,NA
"3:245","2020-11-16","ABB",NA,"Fort Smith","Sebastian","5","36","Manufacturing",NA,NA,NA,41,NA,NA,NA,NA
"3:246","2020-11-12","Tyson",NA,"Van Buren","Crawford","8","228","Manufacturing",NA,NA,NA,236,NA,NA,NA,NA
"3:247","2020-11-12","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","8","73","Manufacturing",NA,NA,NA,81,NA,NA,NA,NA
"3:248","2020-11-12","Pilgrim's Pride",NA,"De Queen","Sevier","7","276","Manufacturing",NA,NA,NA,283,NA,NA,NA,NA
"3:249","2020-11-12","Simmons Foods",NA,"Siloam Springs","Benton","7","92","Manufacturing",NA,NA,NA,99,NA,NA,NA,NA
"3:250","2020-11-12","Frito Lay",NA,"Jonesboro","Craighead","7","68","Manufacturing",NA,NA,NA,75,NA,NA,NA,NA
"3:251","2020-11-12","Tyson",NA,"Pine Bluff","Jefferson","6","75","Manufacturing",NA,NA,NA,81,NA,NA,NA,NA
"3:252","2020-11-12","Tyson","Plant St.","Waldron","Scott","6","14","Manufacturing",NA,NA,NA,20,NA,NA,NA,NA
"3:253","2020-11-12","ABB",NA,"Ft Smith","Sebastian","5","35","Manufacturing",NA,NA,NA,40,NA,NA,NA,NA
"3:254","2020-11-12","Lockheed Martin",NA,"Camden","Ouachita","5","15","Manufacturing",NA,NA,NA,20,NA,NA,NA,NA
"3:255","2020-11-09","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","9","68","Manufacturing",NA,NA,NA,77,NA,NA,NA,NA
"3:256","2020-11-09","Frito Lay",NA,"Jonesboro","Craighead","8","64","Manufacturing",NA,NA,NA,72,NA,NA,NA,NA
"3:257","2020-11-09","Tyson",NA,"Pine Bluff","Jefferson","7","73","Manufacturing",NA,NA,NA,80,NA,NA,NA,NA
"3:258","2020-11-09","Peco",NA,"Pocahontas","Randolph","5","74","Manufacturing",NA,NA,NA,79,NA,NA,NA,NA
"3:259","2020-11-09","ABB",NA,"Ft Smith","Sebastian","5","32","Manufacturing",NA,NA,NA,37,NA,NA,NA,NA
"3:260","2020-11-09","Tyson","Plant St.","Waldron","Scott","5","13","Manufacturing",NA,NA,NA,18,NA,NA,NA,NA
"3:261","2020-11-05","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","10","66","Manufacturing",NA,NA,NA,76,NA,NA,NA,NA
"3:262","2020-11-05","Pilgrim's Pride",NA,"De Queen","Sevier","7","268","Manufacturing",NA,NA,NA,275,NA,NA,NA,NA
"3:263","2020-11-05","Peco",NA,"Pocahontas","Randolph","7","72","Manufacturing",NA,NA,NA,79,NA,NA,NA,NA
"3:264","2020-11-05","Tyson",NA,"Green Forest","Carroll","6","144","Manufacturing",NA,NA,NA,150,NA,NA,NA,NA
"3:265","2020-11-05","Tyson",NA,"Pine Bluff","Jefferson","6","68","Manufacturing",NA,NA,NA,74,NA,NA,NA,NA
"3:266","2020-11-05","Frito Lay",NA,"Jonesboro","Craighead","6","61","Manufacturing",NA,NA,NA,67,NA,NA,NA,NA
"3:267","2020-11-05","Tyson",NA,"Van Buren","Crawford","5","225","Manufacturing",NA,NA,NA,230,NA,NA,NA,NA
"3:268","2020-11-05","Nestle",NA,"Jonesboro","Craighead","5","41","Manufacturing",NA,NA,NA,46,NA,NA,NA,NA
"3:269","2020-11-05","Simmons Foods",NA,"Ft Smith","Sebastian","5","41","Manufacturing",NA,NA,NA,46,NA,NA,NA,NA
"3:270","2020-11-05","Roach Manufacturing",NA,"Trumann","Poinsett","5","14","Manufacturing",NA,NA,NA,19,NA,NA,NA,NA
"3:271","2020-11-02","Tyson",NA,"Pine Bluff","Jefferson","9","65","Manufacturing",NA,NA,NA,74,NA,NA,NA,NA
"3:272","2020-11-02","Peco",NA,"Pocahontas","Randolph","7","71","Manufacturing",NA,NA,NA,78,NA,NA,NA,NA
"3:273","2020-11-02","Tyson",NA,"Green Forest","Carroll","6","141","Manufacturing",NA,NA,NA,147,NA,NA,NA,NA
"3:274","2020-11-02","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","6","64","Manufacturing",NA,NA,NA,70,NA,NA,NA,NA
"3:275","2020-11-02","Simmons Foods",NA,"Ft Smith","Sebastian","6","40","Manufacturing",NA,NA,NA,46,NA,NA,NA,NA
"3:276","2020-11-02","Tyson","Tyler Rd.","Russellville","Pope","5","79","Manufacturing",NA,NA,NA,84,NA,NA,NA,NA
"3:277","2020-11-02","Frito Lay",NA,"Jonesboro","Craighead","5","60","Manufacturing",NA,NA,NA,65,NA,NA,NA,NA
"3:278","2020-11-02","Riceland Foods",NA,"Stuttgart","Arkansas","5","35","Manufacturing",NA,NA,NA,40,NA,NA,NA,NA
"3:279","2020-11-02","Roach Manufacturing",NA,"Trumann","Poinsett","5","12","Manufacturing",NA,NA,NA,17,NA,NA,NA,NA
"3:280","2020-10-29","Tyson",NA,"Green Forest","Carroll","10","137","Manufacturing",NA,NA,NA,147,NA,NA,NA,NA
"3:281","2020-10-29","Roach Manufacturing",NA,"Trumann","Poinsett","8","9","Manufacturing",NA,NA,NA,17,NA,NA,NA,NA
"3:282","2020-10-29","Peco",NA,"Pocahontas","Randolph","7","69","Manufacturing",NA,NA,NA,76,NA,NA,NA,NA
"3:283","2020-10-29","Tyson","Plant St.","Waldron","Scott","6","7","Manufacturing",NA,NA,NA,13,NA,NA,NA,NA
"3:284","2020-10-29","Tyson","Berry St.","Springdale","Washington","5","377","Manufacturing",NA,NA,NA,382,NA,NA,NA,NA
"3:285","2020-10-29","Evergreen Packaging",NA,"Pine Bluff","Jefferson","5","87","Manufacturing",NA,NA,NA,92,NA,NA,NA,NA
"3:286","2020-10-29","Tyson",NA,"Pine Bluff","Jefferson","5","65","Manufacturing",NA,NA,NA,70,NA,NA,NA,NA
"3:287","2020-10-29","Tyson",NA,"Nashville","Howard","5","64","Manufacturing",NA,NA,NA,69,NA,NA,NA,NA
"3:288","2020-10-29","Riceland Foods",NA,"Stuttgart","Arkansas","5","34","Manufacturing",NA,NA,NA,39,NA,NA,NA,NA
"3:289","2020-10-29","Diamond Pet Foods",NA,"Dumas","Desha","5","12","Manufacturing",NA,NA,NA,17,NA,NA,NA,NA
"3:290","2020-10-26","Tyson",NA,"Green Forest","Carroll","10","131","Manufacturing",NA,NA,NA,141,NA,NA,NA,NA
"3:291","2020-10-26","Evergreen Packaging",NA,"Pine Bluff","Jefferson","8","79","Manufacturing",NA,NA,NA,87,NA,NA,NA,NA
"3:292","2020-10-26","Peco",NA,"Pocahontas","Randolph","7","67","Manufacturing",NA,NA,NA,74,NA,NA,NA,NA
"3:293","2020-10-26","Riceland Foods",NA,"Stuttgart","Arkansas","6","30","Manufacturing",NA,NA,NA,36,NA,NA,NA,NA
"3:294","2020-10-26","Greenbrier Rail",NA,"Paragould","Greene","6","15","Manufacturing",NA,NA,NA,21,NA,NA,NA,NA
"3:295","2020-10-26","Tyson","Plant St.","Waldron","Scott","6","4","Manufacturing",NA,NA,NA,10,NA,NA,NA,NA
"3:296","2020-10-26","Lennox Industries",NA,"Stuttgart","Arkansas","5","54","Manufacturing",NA,NA,NA,59,NA,NA,NA,NA
"3:297","2020-10-26","Diamond Pet Foods",NA,"Dumas","Desha","5","10","Manufacturing",NA,NA,NA,15,NA,NA,NA,NA
"3:298","2020-10-22","Tyson",NA,"Green Forest","Carroll","9","125","Manufacturing",NA,NA,NA,134,NA,NA,NA,NA
"3:299","2020-10-22","Riceland Foods",NA,"Stuggart","Arkansas","7","29","Manufacturing",NA,NA,NA,36,NA,NA,NA,NA
"3:300","2020-10-22","Evergreen Packaging",NA,"Pine Bluff","Jefferson","6","79","Manufacturing",NA,NA,NA,85,NA,NA,NA,NA
"3:301","2020-10-22","Peco",NA,"Pocahontas","Randolph","6","66","Manufacturing",NA,NA,NA,72,NA,NA,NA,NA
"3:302","2020-10-22","Cooper Tire",NA,"Texarkana","Miller","5","24","Manufacturing",NA,NA,NA,29,NA,NA,NA,NA
"3:303","2020-10-19","Tyson",NA,"Green Forest","Carroll","9","117","Manufacturing",NA,NA,NA,126,NA,NA,NA,NA
"3:304","2020-10-19","Arkansas Glass Container",NA,"Jonesboro","Craighead","8","3","Manufacturing",NA,NA,NA,11,NA,NA,NA,NA
"3:305","2020-10-19","Tyson",NA,"Pine Bluff","Jefferson","7","58","Manufacturing",NA,NA,NA,65,NA,NA,NA,NA
"3:306","2020-10-19","Evergreen Packaging",NA,"Pine Bluff","Jefferson","6","77","Manufacturing",NA,NA,NA,83,NA,NA,NA,NA
"3:307","2020-10-15","Arkansas Glass Container",NA,"Jonesboro","Craighead","8","3","Manufacturing",NA,NA,NA,11,NA,NA,NA,NA
"3:308","2020-10-15","Tyson",NA,"Pine Bluff","Jefferson","7","58","Manufacturing",NA,NA,NA,65,NA,NA,NA,NA
"3:309","2020-10-15","Land O'Frost",NA,"Searcy","White","7","7","Manufacturing",NA,NA,NA,14,NA,NA,NA,NA
"3:310","2020-10-15","Big Rock KangaRoof",NA,"Little Rock","Pulaski","7","0","Construction",NA,NA,NA,7,NA,NA,NA,NA
"3:311","2020-10-15","Tyson",NA,"Green Forest","Carroll","6","106","Manufacturing",NA,NA,NA,112,NA,NA,NA,NA
"3:312","2020-10-15","OK Foods",NA,"Fort Smith","Sebastian","6","263","Manufacturing",NA,NA,NA,269,NA,NA,NA,NA
"3:313","2020-10-15","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","5","53","Manufacturing",NA,NA,NA,58,NA,NA,NA,NA
"3:314","2020-10-15","Lennox Industries",NA,"Stuttgart","Arkansas","5","45","Manufacturing",NA,NA,NA,50,NA,NA,NA,NA
"3:315","2020-10-15","Riceland Foods",NA,"Stuttgart","Arkansas","5","26","Manufacturing",NA,NA,NA,31,NA,NA,NA,NA
"3:316","2020-10-12","Vacation Tour and Travel",NA,"Entertainment","and Recreation, Conway, Faulkner","8","5","Arts",NA,NA,NA,13,NA,NA,NA,NA
"3:317","2020-10-12","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","8","49","Manufacturing",NA,NA,NA,57,NA,NA,NA,NA
"3:318","2020-10-12","Tyson",NA,"Pine Bluff","Jefferson","7","58","Manufacturing",NA,NA,NA,65,NA,NA,NA,NA
"3:319","2020-10-12","OK Foods",NA,"Fort Smith","Sebastian","7","262","Manufacturing",NA,NA,NA,270,NA,NA,NA,NA
"3:320","2020-10-12","Land O'Frost",NA,"Searcy","White","6","6","Manufacturing",NA,NA,NA,12,NA,NA,NA,NA
"3:321","2020-10-12","ConAgra",NA,"Russellville","Pope","5","193","Manufacturing",NA,NA,NA,198,NA,NA,NA,NA
"3:322","2020-10-12","Tyson",NA,"Green Forest","Carroll","5","105","Manufacturing",NA,NA,NA,110,NA,NA,NA,NA
"3:323","2020-10-08","Vacation Tour and Travel",NA,"Entertainment","and Recreation, Conway, Faulkner","10","2","Arts",NA,NA,NA,12,NA,NA,NA,NA
"3:324","2020-10-08","OK Foods",NA,"Fort Smith","Sebastian","8","262","Manufacturing",NA,NA,NA,270,NA,NA,NA,NA
"3:325","2020-10-08","Tyson",NA,"Green Forest","Carroll","8","104","Manufacturing",NA,NA,NA,112,NA,NA,NA,NA
"3:326","2020-10-08","Dooley Agri",NA,"Forestry","Fishing and Hunting, Colt, St. Francis","6","20","Agriculture",NA,NA,NA,26,NA,NA,NA,NA
"3:327","2020-10-08","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","6","47","Manufacturing",NA,NA,NA,53,NA,NA,NA,NA
"3:328","2020-10-08","ConAgra",NA,"Russellville","Pope","6","190","Manufacturing",NA,NA,NA,196,NA,NA,NA,NA
"3:329","2020-10-08","Tyson",NA,"Pine Bluff","Jefferson","6","57","Manufacturing",NA,NA,NA,63,NA,NA,NA,NA
"3:330","2020-10-05","Dooley Agri",NA,"Forestry","Fishing and Hunting, Colt, St. Francis","26","0","Agriculture",NA,NA,NA,26,NA,NA,NA,NA
"3:331","2020-10-05","Tyson",NA,"Berryville","Carroll","7","35","Manufacturing",NA,NA,NA,42,NA,NA,NA,NA
"3:332","2020-10-05","Vacation Tour and Travel",NA,"Entertainment","and Recreation, Conway, Faulkner","7","1","Arts",NA,NA,NA,8,NA,NA,NA,NA
"3:333","2020-10-05","Tyson",NA,"Pine Bluff","Jefferson","6","56","Manufacturing",NA,NA,NA,62,NA,NA,NA,NA
"3:334","2020-10-05","ConAgra",NA,"Russellville","Pope","5","190","Manufacturing",NA,NA,NA,195,NA,NA,NA,NA
"3:335","2020-10-05","DENSO Manufacturing",NA,"Osceola","Mississippi","5","38","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:336","2020-10-01","Dooley Agri",NA,"Forestry","Fishing and Hunting, Colt, St. Francis","26","0","Agriculture",NA,NA,NA,26,NA,NA,NA,NA
"3:337","2020-10-01","Pine Bluff Fire and Emergency",NA,"Pine Bluff","Jefferson","7","3","Public Administration",NA,NA,NA,10,NA,NA,NA,NA
"3:338","2020-10-01","Tyson",NA,"Berryville","Carroll","6","34","Manufacturing",NA,NA,NA,40,NA,NA,NA,NA
"3:339","2020-10-01","Tyson",NA,"Pine Bluff","Jefferson","6","55","Manufacturing",NA,NA,NA,61,NA,NA,NA,NA
"3:340","2020-10-01","Lennox Industries",NA,"Stuttgart","Arkansas","5","36","Manufacturing",NA,NA,NA,41,NA,NA,NA,NA
"3:341","2020-09-28","Tyson",NA,"Pine Bluff","Jefferson","6","53","Manufacturing",NA,NA,NA,59,NA,NA,NA,NA
"3:342","2020-09-28","Lennox Industries",NA,"Stuttgart","Arkansas","6","31","Manufacturing",NA,NA,NA,37,NA,NA,NA,NA
"3:343","2020-09-28","Pine Bluff Fire and Emergency",NA,"Pine Bluff","Jefferson","6","3","Public Administration",NA,NA,NA,9,NA,NA,NA,NA
"3:344","2020-09-24","Tyson",NA,"Pine Bluff","Jefferson","8","49","Manufacturing",NA,NA,NA,57,NA,NA,NA,NA
"3:345","2020-09-24","Tyson",NA,"Van Buren","Crawford","5","213","Manufacturing",NA,NA,NA,218,NA,NA,NA,NA
"3:346","2020-09-24","Tyson",NA,"Green Forest","Carroll","5","98","Manufacturing",NA,NA,NA,103,NA,NA,NA,NA
"3:347","2020-09-24","Peco",NA,"Pocahontas","Randolph","5","61","Manufacturing",NA,NA,NA,66,NA,NA,NA,NA
"3:348","2020-09-24","Hytrol Conveyor Company",NA,"Jonesboro","Craighead","5","38","Manufacturing",NA,NA,NA,43,NA,NA,NA,NA
"3:349","2020-09-24","Lennox Industries",NA,"Stuttgart","Arkansas","5","29","Manufacturing",NA,NA,NA,34,NA,NA,NA,NA
"2:57","2020-09-14","George's Poultry",NA," Springdale"," Washington","10","277",NA,NA,NA,NA,287,NA,NA,NA,NA
"2:58","2020-09-14","Tyson",NA," Van Buren"," Crawford","7","207",NA,NA,NA,NA,214,NA,NA,NA,NA
"2:59","2020-09-14","Peco",NA," Pocahontas"," Randolph","6","59",NA,NA,NA,NA,65,NA,NA,NA,NA
"2:60","2020-09-14","Cargill Poultry",NA," Springdale"," Washington","5","219",NA,NA,NA,NA,224,NA,NA,NA,NA
"2:61","2020-09-14","Textbook Brokers",NA," Jonesboro"," Craighead","6","5",NA,NA,NA,NA,11,NA,NA,NA,NA
"2:62","2020-09-14","Lennox Industries",NA," Stuttgart"," Arkansas","5","22",NA,NA,NA,NA,27,NA,NA,NA,NA
"2:63","2020-09-14","Triumph Airborne Structures",NA," Hot Springs"," Garland","5","15",NA,NA,NA,NA,20,NA,NA,NA,NA
"2:48","2020-09-09","Tyson",NA," Van Buren"," Crawford","17","195",NA,NA,NA,NA,212,NA,NA,NA,NA
"2:49","2020-09-09","George's Poultry",NA," Springdale"," Washington","8","274",NA,NA,NA,NA,282,NA,NA,NA,NA
"2:50","2020-09-09","Tyson",NA," Green Forest"," Carroll","5","93",NA,NA,NA,NA,98,NA,NA,NA,NA
"2:51","2020-09-09","Peco",NA," Pocahontas"," Randolph","5","57",NA,NA,NA,NA,62,NA,NA,NA,NA
"2:52","2020-09-09","Triumph Airborne Structures",NA," Hot Springs"," Garland","8","12",NA,NA,NA,NA,20,NA,NA,NA,NA
"2:53","2020-09-09","MAHLE Engine Components",NA," Russellville"," Pope","6","5",NA,NA,NA,NA,11,NA,NA,NA,NA
"2:54","2020-09-09","Textbook Brokers",NA," Jonesboro"," Craighead","6","4",NA,NA,NA,NA,10,NA,NA,NA,NA
"2:55","2020-09-09","Lennox Industries",NA," Stuttgart"," Arkansas","5","21",NA,NA,NA,NA,26,NA,NA,NA,NA
"2:56","2020-09-09","Big River Steel",NA," Osceola"," Mississippi","5","11",NA,NA,NA,NA,16,NA,NA,NA,NA
"2:40","2020-09-07","Tyson",NA," Van Buren"," Crawford","24","185",NA,NA,NA,NA,209,NA,NA,NA,NA
"2:41","2020-09-07","George's Poultry",NA," Springdale"," Washington","5","275",NA,NA,NA,NA,280,NA,NA,NA,NA
"2:42","2020-09-07","Tyson",NA," Green Forest"," Carroll","5","90",NA,NA,NA,NA,95,NA,NA,NA,NA
"2:43","2020-09-07","Peco",NA," Pocahontas"," Randolph","5","58",NA,NA,NA,NA,63,NA,NA,NA,NA
"2:44","2020-09-07","Triumph Airborne Structures",NA," Hot Springs"," Garland","9","10",NA,NA,NA,NA,19,NA,NA,NA,NA
"2:45","2020-09-07","Big River Steel",NA," Osceola"," Mississippi","8","8",NA,NA,NA,NA,16,NA,NA,NA,NA
"2:46","2020-09-07","Textbook Brokers",NA," Jonesboro"," Craighead","8","1",NA,NA,NA,NA,9,NA,NA,NA,NA
"2:47","2020-09-07","MAHLE Engine Components",NA," Russellville"," Pope","7","1",NA,NA,NA,NA,8,NA,NA,NA,NA
"2:35","2020-09-03","Tyson",NA," Van Buren"," Crawford","31","175",NA,NA,NA,NA,206,NA,NA,NA,NA
"2:36","2020-09-03","Peco",NA," Batesville"," Independence","5","146",NA,NA,NA,NA,151,NA,NA,NA,NA
"2:37","2020-09-03","Peco",NA," Pocahontas"," Randolph","5","59",NA,NA,NA,NA,64,NA,NA,NA,NA
"2:38","2020-09-03","Triumph Airborne Structures in Hot Springs",NA," AR",NA,"11","8",NA,NA,NA,NA,19,NA,NA,NA,NA
"2:39","2020-09-03","JW Aluminum Co.",NA," Russellville"," Pope","5","3",NA,NA,NA,NA,8,NA,NA,NA,NA
"2:28","2020-08-31","Triumph Airborne Structures",NA," Hot Springs"," Garland","13","2",NA,NA,NA,NA,15,NA,NA,NA,NA
"2:29","2020-08-31","JW Aluminum Co.",NA," Russellville"," Pope","7","0",NA,NA,NA,NA,7,NA,NA,NA,NA
"2:30","2020-08-31","Global Food Group",NA," Clinton"," Van Buren","6","2",NA,NA,NA,NA,8,NA,NA,NA,NA
"2:31","2020-08-31","Tyson",NA," Van Buren"," Crawford","51","149",NA,NA,NA,NA,200,NA,NA,NA,NA
"2:32","2020-08-31","Peco",NA," Batesville"," Independence","11","136",NA,NA,NA,NA,147,NA,NA,NA,NA
"2:33","2020-08-31","OK Foods",NA," Ft Smith"," Sebastian","8","226",NA,NA,NA,NA,234,NA,NA,NA,NA
"2:34","2020-08-31","Peco",NA," Pocahontas"," Randolph","5","56",NA,NA,NA,NA,61,NA,NA,NA,NA
"2:20","2020-08-27","Triumph Airborne Structures",NA," Hot Springs"," Garland","10","0",NA,NA,NA,NA,10,NA,NA,NA,NA
"2:21","2020-08-27","Global Food Group",NA," Clinton"," Van Buren","7","1",NA,NA,NA,NA,8,NA,NA,NA,NA
"2:22","2020-08-27","JW Aluminum Co.",NA," Russellville"," Pope","6","0",NA,NA,NA,NA,6,NA,NA,NA,NA
"2:23","2020-08-27","Wilson Brothers Lumber Co",NA," Rison"," Cleveland","5","10",NA,NA,NA,NA,15,NA,NA,NA,NA
"2:24","2020-08-27","Peco",NA," Batesville"," Independence","25","118",NA,NA,NA,NA,143,NA,NA,NA,NA
"2:25","2020-08-27","Tyson",NA," Van Buren"," Crawford","24","128",NA,NA,NA,NA,152,NA,NA,NA,NA
"2:26","2020-08-27","OK Foods",NA," Ft Smith"," Sebastian","11","223",NA,NA,NA,NA,234,NA,NA,NA,NA
"2:27","2020-08-27","Peco",NA," Pocahontas"," Randolph","7","54",NA,NA,NA,NA,61,NA,NA,NA,NA
"2:15","2020-08-24","Wilson Brothers Lumber Co",NA," Rison"," Cleveland","5","10",NA,NA,NA,NA,15,NA,NA,NA,NA
"2:16","2020-08-24","Peco",NA," Batesville"," Independence","30","109",NA,NA,NA,NA,139,NA,NA,NA,NA
"2:17","2020-08-24","Tyson",NA," Van Buren"," Crawford","16","115",NA,NA,NA,NA,131,NA,NA,NA,NA
"2:18","2020-08-24","Peco",NA," Pocahontas"," Randolph","11","49",NA,NA,NA,NA,60,NA,NA,NA,NA
"2:19","2020-08-24","Tyson",NA," Green Forest"," Carroll","5","79",NA,NA,NA,NA,84,NA,NA,NA,NA
"2:1","2020-08-17","Wilson Brothers Lumber Co",NA," Rison"," Cleveland","10","6",NA,NA,NA,NA,16,NA,NA,NA,NA
"2:2","2020-08-17","ConAgra",NA," Russellville"," Pope","6","172",NA,NA,NA,NA,178,NA,NA,NA,NA
"2:3","2020-08-17","Frito Lay",NA," Jonesboro"," Craighead","6","34",NA,NA,NA,NA,40,NA,NA,NA,NA
"2:4","2020-08-17","Kagome Foods",NA," Osceola"," Mississippi","5","14",NA,NA,NA,NA,19,NA,NA,NA,NA
"2:5","2020-08-17","Peco",NA," Batesville"," Independence","19","62",NA,NA,NA,NA,81,NA,NA,NA,NA
"2:6","2020-08-17","OK Foods",NA," Ft Smith"," Sebastian","17","193",NA,NA,NA,NA,210,NA,NA,NA,NA
"2:7","2020-08-17","Tyson",NA," Berry St."," Springdale, Washington","11","336",NA,NA,NA,NA,347,NA,NA,NA,NA
"2:8","2020-08-17","Tyson",NA," Van Buren"," Crawford","8","111",NA,NA,NA,NA,119,NA,NA,NA,NA
"2:9","2020-08-17","Simmons Foods",NA," Siloam Springs"," Benton","7","67",NA,NA,NA,NA,74,NA,NA,NA,NA
"2:10","2020-08-17","Simmons Foods",NA," Gentry"," Benton","6","78",NA,NA,NA,NA,84,NA,NA,NA,NA
"2:11","2020-08-17","Tyson",NA," 275 Hempstead 278"," Hope, Hempstead","6","26",NA,NA,NA,NA,32,NA,NA,NA,NA
"2:12","2020-08-17","Tyson",NA," Clarksville"," Johnson","5","213",NA,NA,NA,NA,218,NA,NA,NA,NA
"2:13","2020-08-17","Tyson",NA," Pine Bluff"," Jefferson","5","32",NA,NA,NA,NA,37,NA,NA,NA,NA
"2:14","2020-08-17","Twin Rivers Foods",NA," Ft Smith"," Sebastian","5","11",NA,NA,NA,NA,16,NA,NA,NA,NA
"3:350",NA,"George's Poultry",NA,"Springdale","Washington","12","278","Manufacturing",NA,NA,NA,290,NA,NA,NA,NA
"3:351",NA,"George's Poultry",NA,"Batesville","Independence","7","35","Manufacturing",NA,NA,NA,42,NA,NA,NA,NA
