"","date","company_name","address","city","county","number_active_cases","number_recovered_cases","industry","total_business","new_total","total_new","total_number_of_cases","percent_closed","x12","latitude","longitude"
"1:219","2020-6-18","Tyson Rogers Elm St",NA,"Rogers","Benton","15","32",NA,NA,NA,2,47,68.08510638,NA,36.3379,-94.115327
"1:220","2020-6-18","Poultry (general) Benton County",NA,NA,"Benton","134","320",NA,NA,NA,69,454,70.4845815,NA,36.372852,-94.208817
"1:221","2020-6-18","Poultry (general)",NA,NA,"Carroll","11","17",NA,NA,NA,7,28,60.71428571,NA,36.345612,-93.513473
"1:222","2020-6-18","Simmons Foods",NA,"Van Buren","Crawford","7","17",NA,NA,NA,1,24,70.83333333,NA,35.446677,-94.339285
"1:223","2020-6-18","Tyson Van Buren",NA,"Van Buren","Crawford","10","2",NA,NA,NA,6,12,16.66666667,NA,35.425988,-94.3326
"1:224","2020-6-18","Poultry (general)",NA,NA,"Crawford","6","8",NA,NA,NA,14,14,57.14285714,NA,35.580745,-94.2147
"1:225","2020-6-18","Tyson Clarksville",NA,"Clarksville","Johnson","7","24",NA,NA,NA,5,31,77.41935484,NA,35.45813,-93.461807
"1:226","2020-6-18","Poultry (general) Johnson County",NA,NA,"Johnson","7","16",NA,NA,NA,7,23,69.56521739,NA,35.471472,-93.466573
"1:227","2020-6-18","Butterball Huntsville",NA,"Huntsville","Madison","34","77",NA,NA,NA,9,111,69.36936937,NA,36.10984,-93.736993
"1:228","2020-6-18","Poultry (general) Madison County",NA,NA,"Madison","26","35",NA,NA,NA,11,61,57.37704918,NA,36.086187,-93.741303
"1:229","2020-6-18","Tyson Broken Bow",NA,"Broken Bow","Out of State","14","13",NA,NA,NA,7,27,48.14814815,NA,34.029276,-94.739104
"1:230","2020-6-18","Tyson Grannis",NA,"Grannis","Polk","8","18",NA,NA,NA,2,26,69.23076923,NA,34.228847,-94.258088
"1:231","2020-6-18","Poultry (general) Polk County",NA,NA,"Polk","9","15",NA,NA,NA,3,24,62.5,NA,34.49958,-94.239712
"1:232","2020-6-18","Twin Rivers Foods",NA,"Atkins","Pope","8","11",NA,NA,NA,19,19,57.89473684,NA,35.242411,-92.9298
"1:233","2020-6-18","Rockline Industries",NA,"Russellville","Pope","5","10",NA,NA,NA,15,15,66.66666667,NA,35.263708,-93.075008
"1:234","2020-6-18","Poultry (general) Pope County",NA,NA,"Pope","12","41",NA,NA,NA,7,53,77.35849057,NA,35.278417,-93.133786
"1:235","2020-6-18","Poultry (general) Sebastian County",NA,NA,"Sebastian","28","15",NA,NA,NA,16,43,34.88372093,NA,35.385924,-94.398548
"1:236","2020-6-18","Pilgrim's Pride DeQueen",NA,"DeQueen","Sevier","30","143",NA,NA,NA,16,173,82.65895954,NA,34.096585,-94.409446
"1:237","2020-6-18","Poultry (general) Sevier County",NA,NA,"Sevier","51","142",NA,NA,NA,30,193,73.57512953,NA,33.986786,-94.243888
"1:238","2020-6-18","Target",NA,"Fayetteville","Washington","5","1",NA,NA,NA,6,6,16.66666667,NA,36.116514,-94.156014
"1:239","2020-6-18","Cargill Poultry Springdale",NA,"Springdale","Washington","13","114",NA,NA,NA,6,127,89.76377953,NA,36.1867,-94.1288
"1:240","2020-6-18","George's Poultry Springdale",NA,"Springdale","Washington","39","41",NA,NA,NA,28,80,51.25,NA,36.1867,-94.1288
"1:241","2020-6-18","Tyson Berry St.",NA,"Springdale","Washington","141","84",NA,NA,NA,6,225,37.33333333,NA,36.1867,-94.1288
"1:242","2020-6-18","Springdale Public School District",NA,"Springdale","Washington","5","2",NA,NA,NA,2,7,28.57142857,NA,36.177219,-94.209667
"1:243","2020-6-18","Poultry (general) Washington County",NA,NA,"Washington","247","347",NA,NA,NA,89,594,58.41750842,NA,36.082156,-94.171854
