"","yearmon","date","cleaned_company","cleaned_address","cleaned_city","cleaned_county","total_number_of_cases"
"126","2020-08",2020-08-03,"tyson",NA,"ashdown","howard",41
"127","2020-10",2020-10-29,"tyson",NA,"ashdown","howard",69
"128","2021-01",2021-01-28,"tyson",NA,"ashdown","howard",109
"129","2021-02",2021-02-04,"tyson",NA,"ashdown","howard",124
"130","2020-05",2020-05-29,"tyson",NA,"clarksville","johnson",14
"131","2020-06",2020-06-25,"tyson",NA,"clarksville","johnson",54
"132","2020-07",2020-07-31,"tyson",NA,"clarksville","johnson",203
"133","2020-08",2020-08-17,"tyson",NA,"clarksville","johnson",218
"134","2020-12",2020-12-17,"tyson",NA,"clarksville","johnson",247
"135","2021-01",2021-01-28,"tyson",NA,"clarksville","johnson",284
"136","2021-03",2021-03-15,"tyson",NA,"clarksville","johnson",297
"137","2021-01",2021-01-25,"tyson",NA,"dardanelle","yell",166
"138","2020-06",2020-06-21,"tyson",NA,"grannis","polk",28
"139","2020-07",2020-07-03,"tyson",NA,"grannis","polk",29
"140","2020-06",2020-06-25,"tyson",NA,"green_forest","carroll",25
"141","2020-07",2020-07-31,"tyson",NA,"green_forest","carroll",72
"142","2020-08",2020-08-24,"tyson",NA,"green_forest","carroll",84
"143","2020-09",2020-09-24,"tyson",NA,"green_forest","carroll",103
"144","2020-10",2020-10-29,"tyson",NA,"green_forest","carroll",147
"145","2020-11",2020-11-30,"tyson",NA,"green_forest","carroll",193
"146","2020-12",2020-12-31,"tyson",NA,"green_forest","carroll",276
"147","2021-01",2021-01-18,"tyson",NA,"green_forest","carroll",288
"148","2020-08",2020-08-17,"tyson",NA,"pine_bluff","jefferson",37
"149","2020-09",2020-09-28,"tyson",NA,"pine_bluff","jefferson",59
"150","2020-11",2020-11-12,"tyson",NA,"pine_bluff","jefferson",81
"151","2020-06",2020-06-25,"tyson",NA,"van buren","crawford",41
"152","2020-07",2020-07-31,"tyson",NA,"van buren","crawford",93
"153","2020-08",2020-08-31,"tyson",NA,"van buren","crawford",200
"154","2020-09",2020-09-24,"tyson",NA,"van buren","crawford",218
"155","2020-11",2020-11-26,"tyson",NA,"van buren","crawford",253
"156","2020-12",2020-12-14,"tyson",NA,"van buren","crawford",267
"157","2021-01",2021-01-14,"tyson",NA,"van buren","crawford",281
"158","2020-05",2020-05-19,"tyson",NA,"various locations","---",46
"159","2020-10",2020-10-12,"vacation tour and travel",NA,"conway","faulkner",13
"160","2021-02",2021-02-25,"wapsi fly co.",NA,"mountain home","baxter",6
"161","2020-06",2020-06-25,"wayne farms",NA,"danville","yell",109
"162","2020-07",2020-07-31,"wayne farms",NA,"danville","yell",198
"163","2020-08",2020-08-03,"wayne farms",NA,"danville","yell",199
"164","2020-12",2020-12-24,"wayne farms",NA,"danville","yell",230
"165","2020-07",2020-07-31,"west tree services",NA,"little rock","pulaski",6
"166","2020-08",2020-08-03,"west tree services",NA,"little rock","pulaski",7
"167","2020-08",2020-08-17,"wilson brothers lumber co",NA,"rison","cleveland",16
