"","yearmon","cleaned_county","positive2","New_Cases"
"530","2020-11","baxter",1416,10
"531","2020-11","benton",12091,90
"532","2020-11","boone",1793,25
"533","2020-11","bradley",504,9
"534","2020-11","calhoun",150,3
"535","2020-11","carroll",1433,16
"536","2020-11","chicot",1191,5
"537","2020-11","clark",838,30
"538","2020-11","clay",890,16
"539","2020-11","cleburne",734,6
"540","2020-11","cleveland",362,1
"541","2020-11","columbia",1100,7
"542","2020-11","conway",682,8
"543","2020-11","craighead",7172,106
"544","2020-11","crawford",3081,15
"545","2020-11","crittenden",3271,17
"546","2020-11","cross",864,12
"547","2020-11","dallas",302,2
"548","2020-11","desha",564,5
"549","2020-11","drew",743,11
"550","2020-11","faulkner",4832,57
"551","2020-11","franklin",799,4
"552","2020-11","fulton",549,1
"553","2020-11","garland",3872,63
"554","2020-11","grant",609,7
"555","2020-11","greene",2953,45
"556","2020-11","hempstead",866,18
"557","2020-11","hotspring",2948,23
"558","2020-11","howard",814,13
"559","2020-11","independence",2088,12
"560","2020-11","izard",998,2
"561","2020-11","jackson",1807,19
"562","2020-11","jefferson",5207,10
"563","2020-11","johnson",1274,5
"564","2020-11","lafayette",266,1
"565","2020-11","lawrence",1171,7
"566","2020-11","lee",1194,5
"567","2020-11","lincoln",2464,6
"568","2020-11","little_river",645,4
"569","2020-11","logan",960,4
"570","2020-11","lonoke",2735,36
"571","2020-11","madison",629,11
"572","2020-11","marion",442,4
"573","2020-11","miller",2158,11
"574","2020-11","mississippi",3225,38
"575","2020-11","monroe",309,2
"576","2020-11","montgomery",310,14
"577","2020-11","nevada",464,10
"578","2020-11","newton",444,2
"579","2020-11","ouachita",776,28
"580","2020-11","perry",260,6
"581","2020-11","phillips",957,11
"582","2020-11","pike",387,17
"583","2020-11","poinsett",1673,14
"584","2020-11","polk",816,27
"585","2020-11","pope",3730,17
"586","2020-11","prairie",360,1
"587","2020-11","pulaski",16905,172
"588","2020-11","randolph",989,13
"589","2020-11","saline",4889,64
"590","2020-11","scott",382,8
"591","2020-11","searcy",297,2
"592","2020-11","sebastian",7045,30
"593","2020-11","sevier",1715,8
"594","2020-11","sharp",701,8
"595","2020-11","st.francis",2058,8
"596","2020-11","stone",480,4
"597","2020-11","union",1568,28
"598","2020-11","van_buren",386,8
"599","2020-11","washington",15548,108
"600","2020-11","white",3050,32
"601","2020-11","woodruff",203,2
"602","2020-11","yell",1657,3
"603","2020-12","arkansas_county",1314,17
"604","2020-12","ashley",1273,23
"605","2020-12","baxter",2065,25
"606","2020-12","benton",17758,255
"607","2020-12","boone",2571,24
"608","2020-12","bradley",940,22
"609","2020-12","calhoun",234,7
"610","2020-12","carroll",2073,19
"611","2020-12","chicot",1410,12
"612","2020-12","clark",1371,18
"613","2020-12","clay",1317,11
"614","2020-12","cleburne",1236,28
"615","2020-12","cleveland",571,16
"616","2020-12","columbia",1567,15
"617","2020-12","conway",1306,17
